Canton;CodeCommune;Commune;BV;Inscrits;Votants;Abstention;Blancs et nuls;Exprimés;Kichi;Bousquet;Raphael;Loiseau;Asselineau;Geyres;Frison;Levieux;Feuillas;Costes;Nekkaz;Garcia-Luna;Miguet;Carpentier;Barral;Lebreton;Garay
4;25;BEAUVILLE;1;401;166;235;14;152;5;35;2;13;0;0;2;0;13;29;0;2;0;10;37;1;3
4;30;BLAYMONT;1;196;90;106;9;81;0;11;5;7;0;0;0;0;1;18;0;1;0;1;35;2;0
4;62;CAUZAC;1;310;124;186;8;116;2;33;2;5;0;1;2;2;3;28;0;0;0;6;26;2;4
4;82;DONDAS;1;190;104;86;2;102;0;25;0;7;0;0;1;1;4;32;0;0;0;3;26;3;0
4;87;ENGAYRAC;1;139;73;66;6;67;1;8;3;4;1;0;0;1;8;14;0;0;0;5;20;2;0
4;255;SAINT-MARTIN-DE-BEAUVILLE;1;124;62;62;1;61;0;18;0;3;0;0;0;0;3;24;0;0;0;3;9;1;0
4;260;SAINT-MAURIN;1;333;142;191;7;135;4;45;1;7;1;1;2;0;7;38;0;0;1;9;18;1;0
4;305;TAYRAC;1;292;126;166;4;122;4;33;2;5;0;0;1;1;2;50;0;0;0;3;18;2;1
6;23;BEAUGAS;1;244;131;113;8;123;3;33;0;11;3;0;6;0;1;31;0;0;1;3;25;1;5
6;33;BOUDY-DE-BEAUREGARD;1;283;126;157;12;114;5;30;5;8;0;1;4;0;3;25;0;0;2;4;24;0;3
6;48;CANCON;1;886;461;425;17;444;9;128;7;18;1;0;6;3;9;110;0;0;6;14;123;9;1
6;49;CASSENEUIL;1;702;315;387;11;304;14;95;6;11;1;0;5;0;6;61;0;0;2;9;91;3;0
6;49;CASSENEUIL;2;944;424;520;26;398;14;102;6;23;1;1;8;1;11;107;0;1;7;12;94;9;1
6;55;CASTELNAUD-DE-GRATECAMBE;1;372;178;194;14;164;4;68;0;7;2;0;3;0;0;41;0;0;1;3;34;1;0
6;170;MONBAHUS;1;500;186;314;17;169;0;50;3;15;0;1;5;0;2;50;0;1;1;9;30;1;1
6;192;MONVIEL;1;65;40;25;1;39;0;10;1;2;2;0;0;0;0;19;0;0;0;1;4;0;0
6;193;MOULINET;1;166;77;89;7;70;3;23;2;3;0;0;0;0;3;18;0;0;0;2;13;1;2
6;198;PAILLOLES;1;243;123;120;15;108;1;30;1;8;2;0;0;0;6;15;0;0;1;2;37;3;2
6;259;SAINT-MAURICE-DE-LESTAPEL;1;99;57;42;0;57;0;17;2;0;0;0;2;0;3;20;0;0;0;1;11;0;1
9;44;CAHUZAC;1;224;130;94;10;120;0;36;4;11;0;0;9;0;2;23;0;0;0;3;27;2;3
9;57;CASTILLONNÈS;1;973;450;523;17;433;11;103;9;16;1;2;12;0;10;155;0;0;1;10;98;4;1
9;63;CAVARC;1;122;53;69;4;49;1;11;0;3;0;0;2;0;1;15;0;0;0;2;12;2;0
9;84;DOUZAINS;1;194;105;89;8;97;1;14;0;7;0;0;7;0;4;35;0;2;1;4;19;1;2
9;96;FERRENSAC;1;159;69;90;4;65;1;8;3;1;0;0;1;0;0;22;0;1;1;9;18;0;0
9;132;LALANDUSSE;1;121;60;61;4;56;1;14;0;3;2;0;2;0;3;13;0;0;0;3;12;2;1
9;152;LOUGRATTE;1;306;160;146;10;150;3;51;1;12;0;0;0;0;4;55;0;0;0;6;16;2;0
9;183;MONTAURIOL;1;163;88;75;1;87;1;29;2;1;1;0;7;0;6;16;0;0;0;2;19;2;1
9;272;SAINT-QUENTIN-DU-DROPT;1;144;79;65;6;73;2;9;1;0;0;0;4;0;10;18;0;0;0;3;26;0;0
9;299;SÉRIGNAC-PÉBOUDOU;1;118;65;53;6;59;0;17;1;5;1;0;1;0;3;14;0;0;0;4;9;4;0
13;29;BLANQUEFORT-SUR-BRIOLANCE;1;383;208;175;7;201;0;33;2;8;0;0;0;0;6;87;0;0;1;12;45;4;3
13;70;CONDEZAYGUES;1;677;358;319;11;347;2;61;1;8;2;0;2;1;7;141;0;2;1;12;99;2;6
13;77;CUZORN;1;733;388;345;11;377;2;63;0;11;2;1;1;2;6;189;0;0;1;7;83;2;7
13;106;FUMEL;1;554;305;249;7;298;1;35;1;9;4;0;2;0;4;184;0;0;1;3;50;0;4
13;106;FUMEL;2;936;544;392;17;527;6;67;4;16;1;0;0;1;6;276;0;0;2;10;125;2;11
13;106;FUMEL;3;714;366;348;14;352;4;57;1;11;2;0;1;1;5;183;0;0;5;6;76;0;0
13;106;FUMEL;4;274;123;151;4;119;0;11;0;7;1;1;1;0;6;70;0;0;0;6;15;1;0
13;106;FUMEL;5;557;274;283;12;262;1;36;1;5;2;0;2;0;3;154;0;0;0;4;44;4;6
13;106;FUMEL;6;738;432;306;16;416;3;72;0;12;1;0;0;0;11;223;0;2;1;4;76;3;8
13;179;MONSEMPRON-LIBOS;1;716;355;361;10;345;2;51;0;17;1;0;1;0;4;134;0;0;1;11;113;3;7
13;179;MONSEMPRON-LIBOS;2;513;257;256;6;251;2;27;1;5;1;3;0;0;3;106;0;0;1;10;79;5;8
13;179;MONSEMPRON-LIBOS;3;345;143;202;3;140;3;30;0;7;0;0;0;0;1;44;0;0;1;7;32;1;14
13;242;SAINT-FRONT-SUR-LÉMANCE;1;258;126;132;9;117;1;23;0;2;2;1;0;0;1;69;0;0;0;6;11;1;0
13;242;SAINT-FRONT-SUR-LÉMANCE;2;114;68;46;5;63;0;14;0;5;0;0;0;0;0;37;0;0;0;1;5;0;1
13;242;SAINT-FRONT-SUR-LÉMANCE;3;69;40;29;5;35;0;9;1;0;0;0;0;0;1;18;0;0;0;0;5;0;1
13;292;SAUVETERRE-LA-LÉMANCE;1;423;234;189;7;227;0;29;1;15;1;1;2;0;1;116;0;0;0;9;47;3;2
